-241, -72, -291
-411, -42, -173
-625, -101, -79
-625, -101, -79
-913, -252, -2
-1203, -474, -23
-1454, -774, -8
-,-,-
-1074, -394, 355
-1129, -389, 292
-1218, -442, 306
-1279, -475, 437
-1305, -555, 611
-1265, -586, 723
-1163, -495, 755
-1039, -390, 725
-886, -316, 691
-732, -289, 667
-594, -268, 582
-594, -268, 582
-462, -201, 434
-369, -161, 366
-235, -118, 251
-177, -176, 253
-135, -203, 93
-128, -192, -70
-205, -87, -225
-361, -21, -265
-560, 5, -286
-799, -40, -257
-799, -40, -257
-1070, -204, -135
-1374, -543, 36
-1627, -846, 66
